company_id;company_name;industry;location;business_description;website;email;revenue_sar
SA-001;Saudi Telecom Company (stc);Telecommunications;Riyadh;Telecommunications and digital services provider serving consumers and enterprises.;www.sauditelec.com.sa;info@sauditelec.com.sa;27366000000
SA-002;Elm Company;Information Technology;Riyadh;Digital solutions company providing government and enterprise technology services.;www.elmcompany.com.sa;;5896000000
SA-003;solutions by stc;Information Technology;Riyadh;ICT services provider focused on digital infrastructure, cloud, cybersecurity and managed services.;;;5445500000
SA-004;Mobily;Telecommunications;Riyadh;Telecommunications operator providing mobile, broadband and business connectivity services.;;contact@mobily.com.sa;27619000000
SA-005;Al Rajhi Bank;Banking;Riyadh;Large Saudi bank providing retail, corporate and digital banking services.;www.alrajhiban.com.sa;;35548000000
SA-006;Bank Albilad;Banking;Riyadh;Saudi Islamic bank serving retail, corporate and investment customers.;www.bankalbila.com.sa;;37563000000
SA-007;Riyad Bank;Banking;Riyadh;Saudi bank providing corporate, retail and investment banking services.;;;28414000000
SA-008;Saudi National Bank (SNB);Banking;Riyadh;Saudi financial institution serving retail, corporate and institutional customers.;www.saudinatio.com.sa;;35648000000
SA-009;Almarai;Food & Beverage;Riyadh;Large food and beverage company operating dairy, bakery, poultry and juice businesses.;;;3095000000
SA-010;Savola Group;Food & Retail;Jeddah;Investment group with businesses across food, retail and related sectors.;www.savolagrou.com.sa;;3465000000
SA-011;Nahdi Medical Company;Healthcare;Jeddah;Healthcare and pharmacy retailer operating a large network across Saudi Arabia.;www.nahdimedic.com.sa;;130900000
SA-012;Jarir Marketing;Retail;Riyadh;Retailer specializing in electronics, office supplies, books and consumer products.;www.jarirmarke.com.sa;sales@jarirmarke.com.sa;3702000000
SA-013;Extra Stores;Retail;Riyadh;Consumer electronics retailer operating stores and an online shopping platform.;www.extrastore.com.sa;partners@extrastore.com.sa;77200000
SA-014;ACWA Power;Energy;Riyadh;Developer and operator of power generation and water desalination projects.;;;39438000000
SA-015;Saudi Electricity Company;Utilities;Riyadh;Major electricity generation, transmission and distribution company in Saudi Arabia.;;;32343000000
SA-016;Saudi Aramco;Energy;Jeddah;Integrated energy company operating across oil, gas, refining and chemicals.;;contact@saudiaramc.com.sa;23163000000
SA-017;Maaden;Mining;Riyadh;Saudi mining company developing mineral resources and mining projects.;www.maaden.com.sa;;18558900000
SA-018;SABIC;Chemicals;Riyadh;Global chemicals company producing petrochemicals, polymers and specialty products.;;;19517000000
SA-019;Bahri;Logistics;Riyadh;Saudi maritime transport and logistics company operating shipping and logistics services.;www.bahri.com.sa;contact@bahri.com.sa;3934000000
SA-020;Red Sea International;Construction;Riyadh;Company providing modular buildings and construction solutions for industrial and commercial projects.;;;781300000
SA-021;Bupa Arabia;Insurance;Jeddah;Health insurance provider serving individuals, companies and organizations in Saudi Arabia.;;hello@bupaarabia.com.sa;23000000
SA-022;Tawuniya;Insurance;Riyadh;Saudi insurance company providing health, motor and general insurance products.;;;10800000
SA-023;Saudi Re;Insurance;Riyadh;Saudi reinsurance company serving regional and international insurance markets.;;;164400000
SA-024;Mouwasat Medical Services;Healthcare;Dammam;Healthcare provider operating hospitals and medical facilities in Saudi Arabia.;www.mouwasatme.com.sa;;109300000
SA-025;Dallah Healthcare;Healthcare;Riyadh;Healthcare group operating hospitals and medical services businesses.;;hello@dallahheal.com.sa;216500000
SA-026;Dr. Sulaiman Al Habib Medical Services Group;Healthcare;Riyadh;Healthcare group operating hospitals, clinics and pharmacies.;;;283800000
